teks,label,skor,label-aspek,skor-label-aspek
putus duga bikin uang buruk apartemen cicil beban usaha salah kelola bisnis bayar apartemen gaji suka tarik uang,Negatif,-1,Kompensasi,0
gara-gara alas gaji bonus pindah usaha gaji sesal,Negatif,-1,Kompensasi,0
kayak rame generalisasi baca sisi positif kutu loncat pindah posisi gaji,Negatif,-1,Kompensasi,0
rekan kerja usaha alas posisi pindah situ,Negatif,-1,Hubungan,3
arti pindah alas kuat gaji bumn lihat gaji timbang masuk usaha bingung pakai terima kasih,Positif,1,Kompensasi,0
rela alas usaha banget rumah gaji ongkos transpor rupiah sesal enak,Positif,1,Kompensasi,0
alas tindak laku cari alam cari peluang sesuai tuju karir ahli kembang,Netral,0,Aktualisasi,2
kali pindah sadar orang orang tolol jahat usaha alas tahan slip,Negatif,-1,Kompensasi,0
alas terang alternatif lingkung jahat cari lingkung kerja dukung kembang tumbuh kembang profesional,Positif,1,Aktualisasi,2
masuk kerja muncul paksa gugat kayak insentif gaji bayar janji kasih,Negatif,-1,Kompensasi,0
plan mental kali jahat titik,Negatif,-1,Kompensasi,0
kerja efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas kerja,Positif,1,Kompensasi,0
mesti sorang stres jahat gaji sikit orang kerja,Negatif,-1,Kompensasi,0
kudap wajib lembur traktir,Negatif,-1,Kompensasi,0
alas jahat lingkung kerja jahat tinggal toleransi,Negatif,-1,Kompensasi,0
real alas teman bikin emosi malas jarang kerja gaji uang makan jalan,Netral,0,Kompensasi,0
alas kembang kerja kontrak pakai bilang,Positif,1,Aktualisasi,2
alas kerja gaji kerja berat pengin rambut,Netral,0,Kompensasi,0
rekan kerja wanita alas program hamil anak banget jago desain,Positif,1,Hubungan,3
alas gaji nyaman lingkung kerja teman kerja kalimat indah kepsek,Netral,0,Kompensasi,0
cari kerja susah pandemi kerja beban banget depresi samping gaji keluarga bilang sakit biar alas libur kerja,Negatif,-1,Kompensasi,0
alas kerja cari kasih gaji kerja auto sesal tinggal kerja sesal,Negatif,-1,Kompensasi,0
anak jaman kerja bosan alas karir teman cuan gede,Negatif,-1,Hubungan,3
minggu kerja pengin betah lingkung kerja bingung alas,Netral,0,Kompensasi,0
kerja alas capek alas utama nyaman orang kerja nyaman alas orang jahat jahat orang pacar,Netral,0,Kepuasan Kerja,1
main data karyawan paksa tunggu sakit usaha lalai gaji alias penuh wajib ngeri,Negatif,-1,Kompensasi,0
tahap lampau stres kerja mesti kadang tahan jenis kerja paruh jalan kadang kerja gaji bayar komitmen moga sabar rezeki milik allah,Positif,1,Kompensasi,0
tetangga kantor alas kerja capek kerja jahat kepala rehat capek jalan,Negatif,-1,Kepuasan Kerja,1
alas jahat banget arah kerja visi jahat bungkus alas cari kerja hasil,Netral,0,Kompensasi,0
mama kerja sakit salah banget kaya hambat tuju hidup mama alas beliau salah sakit akibat urus pusing stres pikir banget kaya beban orang rumah,Negatif,-1,Kepuasan Kerja,1
keren karyawan papa hamil cerita kerja rumah alas kuat kantor papa kasih bijak gaji cuti lahir gaji papa kasih habis cuti lahir,Positif,1,Kompensasi,0
slip gaji gaji sisa kerja situ tulis hitung kerja bayar potong arti hitung,Netral,0,Kompensasi,0
utama kerja alas gaji rekan kerja laku kerja kayak tahi,Negatif,-1,Kompensasi,0
kudu rabi alas suami kerja lembur rabi solusi,Positif,1,Kompensasi,0
jujur alas jahat alas capek orang kerja modal lurah riwayat hidup,Negatif,-1,Kepuasan Kerja,1
teman gaji lumayan alas lingkung kerja kerja cari coba pengin,Negatif,-1,Kompensasi,0
alas kerja turun lapang kadang malam lepas gaji kerja pulang malam gaji standar keluh astagfirullah,Negatif,-1,Kompensasi,0
kerja teman angkat alas sedih bikin menang rekan kerja kerja teman angkat sedih,Netral,0,Hubungan,3
tolong kasih alas cocok kosmetik mall kerja capek banget,Positif,1,Kepuasan Kerja,1
sampah staff acah masuk kerja alas kerja gaji berkat kerja kena,Negatif,-1,Kompensasi,0
benci banget kantor marah akal bikin mental tahan jahat sesal banget alhamdulillah,Positif,1,Kompensasi,0
usaha kaca lahir sedia ruang laktasi busui fleksibel busui perah jelek karyawan kecuali lembur,Positif,1,Kompensasi,0
kerja kerja sehat mental miskin duit miskin mental,Negatif,-1,Kompensasi,0
alas malas pulkam ketemu tante kakak sepupu pokok anggota keluarga bagus kerja kemarin lihat susah kerja pandemi sabar sabar,Netral,0,Kompensasi,0
kerja suka duka beban kerja kolega gampang kabur kerikil permisif cari jahat salah ambil cuti salah,Negatif,-1,Kompensasi,0
manager pecat nyata kerja busuk kirim lebay gaji tarik usaha,Negatif,-1,Kompensasi,0
kerja bidang minat suka kerja pergi kerja menang ambil putus henti tawar bonus,Negatif,-1,Kompensasi,0
jujur dengar orang alas bosan lingkung kerja gaji pengin lempar kerja,Positif,1,Kompensasi,0
kerja jahat rubah darah daging pilih,Negatif,-1,Kompensasi,0
kerja efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas kerja,Positif,1,Kompensasi,0
alas kawan tawar loker mundur kerja gaji pokok pagi pulang malam lembur partner jahat parah wajar,Negatif,-1,Kompensasi,0
mbak alam mending mundur sehat mental gaji pangkat hancur mental kerja bikin hancur tuju kerja gaji mental,Positif,1,Kompensasi,0
tiada gaji urus beban kerja wang sehat rupa faktor henti,Negatif,-1,Kompensasi,0
utama kerja alas gaji rekan kerja laku kerja kayak tahi,Negatif,-1,Kompensasi,0
nekad jahat teman kantor suportif kerja budak sistem kantor hancur hasil kesel uang kantor tolong,Negatif,-1,Hubungan,3
kerja alas jarak gaji,Netral,0,Kompensasi,0
alas palsu kerja alas asli gaji banding banget sistem kerja jahat,Netral,0,Kompensasi,0
wawancara kerja usaha alas finansial gaji etis,Positif,1,Kompensasi,0
lembur mesti rawat rumkit lelah kronis tipes teman bawa suka turun jabat sakit kerja pilih auto kelimpungan,Negatif,-1,Kepuasan Kerja,1
lolos rekan kerja alas jujur butuh saran terima kasih,Negatif,-1,Hubungan,3
alas keren capek kerja gaji,Netral,0,Kompensasi,0
alas gaji sesuai cepat posisi kerja,Positif,1,Kompensasi,0
rencana kerja gaji signifikan beban kerja lembur bayar alas jelek usaha,Negatif,-1,Kompensasi,0
sayang mental lingkung jahat over lembur bayar urus kantor agustus kerja januari tabung,Netral,0,Kompensasi,0
gaji bonus kuat tinggal cari habis situ jerih payah usaha pandang belah mata,Negatif,-1,Kompensasi,0
alas salah gaji kontribusi uang keluarga alas terima sang direktur peduli keluarga peduli usaha pergi,Positif,1,Kompensasi,0
lambat insentif gaji pegawai utama nakes paksa,Positif,1,Kompensasi,0
stres kerja lepas tengok nyawa sikit cakap hadap hadap paksa,Negatif,-1,Kepuasan Kerja,1
teman manager pandemi tahan karyawan pikir karyawan rumah mending tutup gaji asih kerja,Positif,1,Kompensasi,0
suasana kantor enak jahat rekan kerja tahan butuh duit pahit,Negatif,-1,Hubungan,3
usaha capek kerja gaji besok masuk kerja langsung gaji,Netral,0,Kompensasi,0
stres kerja situ fikir duit kalis jahat stres baca seronok kerja,Negatif,-1,Kepuasan Kerja,1
kerja nyaman banget cocok lingkung gaji putus korea niat libur cari kerja korona dasar menang,Positif,1,Kompensasi,0
alas kerja lingkung jahat lingkung bagus jahat bagus keteter rumah mahal over stres,Negatif,-1,Kepuasan Kerja,1
jaman kerja pakai alas mental adaptasi lingkung inti lingkung kerja paham,Netral,0,Kompensasi,0
kerja bayar juta begadang tidur come,Netral,0,Kompensasi,0
mbak rasai posisi capek capek capek lingkung kerja jahat banget kontrak kerja pinalti uang keluarga orang sayang,Positif,1,Kepuasan Kerja,1
bagus jahat mudah cakap,Negatif,-1,Kompensasi,0
orang lingkung jahat kayak langkah percaya enak alam pribadi,Netral,0,Kompensasi,0
ambil kena kantor alas kantor lingkung kerja jahat gaji kerja alokasi uang tahan kenal putus pilih,Negatif,-1,Kompensasi,0
minggu kerja sombong gara-gara sarjana lulus coba bangun komunikasi jelek teman kerja cepu bodo sehat jiwa kerja kayak robot,Negatif,-1,Hubungan,3
auto kafir shalat jumat barista restoran jepang mall tempel hotel mewah shalat jumat makan siang tinggal meja lantar,Positif,1,Kompensasi,0
kadang orang luah stres kerja penat syukur kerja ramai kerja kadang luah pakai,Positif,1,Kepuasan Kerja,1
sebel orang selesai potensi ketemu orang sikap kerja hadap ajar kembang interpersonal,Positif,1,Aktualisasi,2
kaget banget mantan senior salah gara orang jahat banget marah suka grup situ intern grafis kerja,Negatif,-1,Kompensasi,0
teman rsud jawa kerja jawa alas gaji sesuai beban kerja sulit dokter dikit perata dokter problem,Negatif,-1,Kompensasi,0
indra orang alas kena lingkung jahat rendah orang kerja heran banget lambe,Negatif,-1,Kompensasi,0
ramai henti kerja gaji harga kawan kerja jahat beban kerja repek kebaji kerja abai,Negatif,-1,Kompensasi,0
cakap surat tempoh moga bantu,Positif,1,Kompensasi,0
alas kasih kerja kerja kagak lembur tugas manager,Negatif,-1,Kompensasi,0
nyata orang lingkung kerja jahat bayang parah cerita mbak nyata,Negatif,-1,Kompensasi,0
istirahat duduk komputer kuat tahan lapar pusing takut orang,Negatif,-1,Kompensasi,0
jahat pindah pindah kantor,Negatif,-1,Kompensasi,0
alas usaha rekan kerja,Netral,0,Hubungan,3
prediksi tutup pecat total alas zona nyaman tolak kerja lembur revolusi,Negatif,-1,Kompensasi,0
habis gaji,Netral,0,Kompensasi,0
karyawan gaji gaji gaji bikin resah paket jahat ganti lingkung kerja asik,Positif,1,Kompensasi,0
ramai henti kerja gaji harga kawan kerja jahat beban kerja repek kebaji kerja abai,Negatif,-1,Kompensasi,0
gaji gaji gaji nilai bayar,Positif,1,Kompensasi,0
jumpa jahat,Negatif,-1,Kompensasi,0
kerja kerja kerja masak kasir tamu gaji juta duduk sebentar istirahat manja,Negatif,-1,Kompensasi,0
alas gaji banding beban kerja,Negatif,-1,Kompensasi,0
solusi hadap lingkung kerja jahat solusi cari bagus cari lingkung kerja cocok gampang bekal,Netral,0,Kompensasi,0
pengin kerja alas kerja gaji duit gilir susah bayar,Negatif,-1,Kompensasi,0
kerja gaji partner kerja jahat masuk akal alas partner kerja enak,Negatif,-1,Kompensasi,0
gaji alas kerja orang pribadi kerja julid dendam bingung,Negatif,-1,Kompensasi,0
undang sabtu kondisi alas pindah kerja kerja alas gaji,Netral,0,Kompensasi,0
alas cocok staf kerja kontrak bilang alas alas kerja peluang,Netral,0,Kompensasi,0
kerja lingkung gaji jenis alas biar terima,Positif,1,Kompensasi,0
kerja alas susah target gaji minim jujur usaha lamar,Negatif,-1,Kompensasi,0
pengin kerja alas teman kantor jahat serba salah,Negatif,-1,Hubungan,3
pergi gaji kerja karut ungkit jahat,Negatif,-1,Kompensasi,0
kayak alas rekan kerja suportif,Negatif,-1,Hubungan,3
ramai henti kerja gaji harga kawan kerja jahat beban kerja,Negatif,-1,Kompensasi,0
paksa gaji bayar,Negatif,-1,Kompensasi,0
alas kerja masuk akal kadang tuntut loyalitas hitung lembur,Netral,0,Kompensasi,0
gaji gaji pakai,Netral,0,Kompensasi,0
salah alas kantor lingkung kerja jahat sakit mental bahan guyon divisi kantor ning suruh pakai bolpoin mata diam,Negatif,-1,Kompensasi,0
september kemarin jahat kerja kantor kantor senang banget banget banget menang,Positif,1,Kompensasi,0
tidur kerja total laku stop bilang pengin alas capek kerja,Netral,0,Kepuasan Kerja,1
alas mental buruk kena penalti surat terang dokter rehat penalti banget juta kerja banget balas,Positif,1,Kompensasi,0
alas kerja tawar kerja gaji kultur kerja koneksi potensi kembang potensi laku alas orang betah kerja,Positif,1,Kompensasi,0
tingkat iring harap syarikat sistem gaji sesuai gaji kerja,Positif,1,Kompensasi,0
telusur bayar lingkung kerja jahat bagus paksa tahan keburu depresi anak orang,Negatif,-1,Kompensasi,0
alas kerja masuk akal kadang tuntut loyalitas hitung lembur,Netral,0,Kompensasi,0
problem kena tolak gaji maki allah plan alhamdulillah,Negatif,-1,Kompensasi,0
salah kuasa otak soak karyawan negosiasi gaji mandiri jejak nilai nilai tawar jual,Positif,1,Kompensasi,0
alas jujur kerja target gaji terima tawar kuat alas usaha mending kayak,Negatif,-1,Kompensasi,0
cewek gaji kerja jakarta gaji juta dapur listrik pindah gaji juta alas bosan,Positif,1,Kompensasi,0
kena henti kerja dorang stres kerja peras ramai benda henti kerja,Negatif,-1,Kepuasan Kerja,1
cowok malas kerja posisi jabat berat pilih alas pusing kerja kayak malas gaji kerja,Negatif,-1,Kompensasi,0
gaji alas kerja orang pribadi kerja julid dendam bingung,Negatif,-1,Kompensasi,0
cewek saran alas kerja lingkung jahat beban kerja bikin kuat terima kerja,Negatif,-1,Kompensasi,0
kerja libur gaji tunggu juta cari kerja penjara kayak orang,Negatif,-1,Kompensasi,0
alam kerja maksud kutu loncat alas usaha kantor gulung tikar alas kantor cocok gaji,Positif,1,Kompensasi,0
buka negoisasi gaji laku usaha bilang gaji usaha erti,Netral,0,Kompensasi,0
tingkat iring harap syarikat sistem gaji sesuai gaji kerja,Positif,1,Kompensasi,0
gejolak hati pikir butuh duit tahan kerja stres mental utama dana darurat kerja beban keluarga cari kerja mudah,Negatif,-1,Kepuasan Kerja,1
acapkali kerja arah tulis surat kerja utara alami kerja ketidakpuasan hati hadap skop kerja jadual bayar gaji janji pindah turun pangkat,Negatif,-1,Kompensasi,0
inti nyaman lingkung kerja laku beda rekan kerja hasil kerja tekan,Positif,1,Hubungan,3
mental hadap subang jaya jalan kebun badan letih anak anak layan hara sepah depa hadap cari,Negatif,-1,Kompensasi,0
tingkat iring harap syarikat sistem gaji sesuai gaji kerja,Positif,1,Kompensasi,0
minggu lancar kerja kantor enak banget gaji jarak kerja moga putus,Positif,1,Kompensasi,0
tingkat iring harap syarikat sistem gaji sesuai gaji kerja,Positif,1,Kompensasi,0
contoh surat bahasa bahasa melayu kawan kawan,Negatif,-1,Kompensasi,0
kerja jawat awam putus henti kerja nasihat henti alas sayang kerja jamin takut niaga,Negatif,-1,Kompensasi,0
jaman konten alas personal banget publik kecuali rawan,Negatif,-1,Kompensasi,0
nyata lingkung kerja jahat alas beliau cocok usaha fokus studi kontrak wajar hitung,Positif,1,Kompensasi,0
putus pindah kerja gaji rendah ganti mental sehat tingkat stres kendali temu keluarga damping tumbuh kembang buah salah putus bijak hidup,Netral,0,Kompensasi,0
staff bilang hati makan usaha coba cari kerja susah jaman kerja kayak dasar syukur entar kerja,Negatif,-1,Kompensasi,0
ramai cakap zone gain basic bosan contoh pasal gaji pasal suka kerja takut,Negatif,-1,Kompensasi,0
gaji orang kena orang wajib bayar gaji,Negatif,-1,Kompensasi,0
cakap pahit teruk kedekut gaji buruk contoh alas henti,Negatif,-1,Kompensasi,0
cewek surat kasar lembur bayar bonus juta mending ikhlas tagih,Positif,1,Kompensasi,0
alas lamar kembang peduli kembang lihat tenang lihat loyal pengin ganti penuh,Positif,1,Aktualisasi,2
orang luah stres kerja penat syukur kerja ramai kerja kadang kadang luah pakai,Positif,1,Kepuasan Kerja,1
capek banget kerja orang jahat salah alas pengin cepat,Negatif,-1,Kepuasan Kerja,1
putus kerja cowok kenal kemarin hidup niat kembang alas nyata,Positif,1,Aktualisasi,2
orang kerja cocok nyaman jahat beda visi mudah bilang cicil kudu lunas butuh anggota keluarga semangat juang rupiah,Negatif,-1,Kompensasi,0
siang obrol teman kerja alas alas tahan mbak kantor ajar kantor kerja relasi batas rekan kerja,Negatif,-1,Hubungan,3
karyawan habis susah kerja beritahu alas habis bentak cari kembang,Negatif,-1,Aktualisasi,2
ramai henti kerja gaji harga kawan kerja jahat beban kerja repek kebaji kerja abai,Negatif,-1,Kompensasi,0
orang perihal teman kantor jahat tinggal nyata gampang ketemu sindir stres banget anjir stres,Negatif,-1,Kepuasan Kerja,1
tanda patut kerja stres lampau mental mahal gaji keliling orang jahat kaki jilat kerja gaji kedekut,Negatif,-1,Kompensasi,0
nyokap alas kerja percaya minum kerja tidur sakit kepala kerja bikin stres selesai cerita,Negatif,-1,Kepuasan Kerja,1
prambanan jujur plan alas lembur pengin kerja gaji potong bpjs,Negatif,-1,Kompensasi,0
aman bilang alas cocok lingkung kerja alas jujur gaji gaji,Netral,0,Kompensasi,0
bilang kesan klise banget alas anggap adek anggap adek kerja doang,Positif,1,Kompensasi,0
genap jahat habis modal modal modal duduk sesak,Negatif,-1,Kompensasi,0
hantar surat start orang dengar majikan koyak kerja jahat,Negatif,-1,Kompensasi,0
habis tolak alas nasib omset cabang pegang sender capek banget cabang penuh orang jahat gaji pokok sender omset,Negatif,-1,Kompensasi,0
semangat kerja anak lingkung kerja jahat alas,Negatif,-1,Kompensasi,0
coba lihat pesan kerja situ kerja uang cerita usaha kerja,Positif,1,Kompensasi,0
sebel gaji telat sebel lihat karyawan gaji telat pakai alas kerja enak telat ambil cuti kerja atur,Negatif,-1,Kompensasi,0
minggu tuan putri labu kerja bikin salah alas daerah blok,Negatif,-1,Kompensasi,0
alas kerja lingkung jahat bilang lingkung maksud bohong,Negatif,-1,Kompensasi,0
henti syarikat gaji salah sesuai sekira,Netral,0,Kompensasi,0
masuk kerja galau tinggal anak kerja lihat orang orang banget lihat kembang anak menang lihat moga paham kerja alas,Positif,1,Aktualisasi,2
karyawan kerja pola pikir maaf kerja rumah kapai daftar kerja rumah kemarin terima kerja gaji,Positif,1,Kompensasi,0
pengin butuh uang alas capek kerja anak jaman,Negatif,-1,Kepuasan Kerja,1
konon pakai alas kerja lepas gaji pangkat manager suruh masuk alas,Negatif,-1,Kompensasi,0
istirahat rupa kerja rupa kerja istirahat kerja bebas pakai kapai langgar hukum atur internal usaha bayar sangon,Negatif,-1,Kompensasi,0
alas kerja salah tidur beranta gaji minus potong,Negatif,-1,Kompensasi,0
tipe masuk kerja alas lingkung kerja jahat,Negatif,-1,Kompensasi,0
kerja gaji alas enak,Netral,0,Kompensasi,0
kawan budak kerja gaji alas kursus kerja pergi kursus kepala,Positif,1,Kompensasi,0
marah kecewa pasang kuat lamar terima tolak gaji terima kerja gaji,Positif,1,Kompensasi,0
alas usaha sabtu kerja cari kerja senin jumat,Netral,0,Kompensasi,0
kerja gaji ambil tawar alas kontrak pinalti,Negatif,-1,Kompensasi,0
halo sender kantor alhamdulillah langsung kerja gaji kantor kerja menang hasil,Positif,1,Kompensasi,0
karyawan habis gaji henti kerja kali karyawan alas klasik salah,Positif,1,Kompensasi,0
halo kerja kontrak izin alas lingkung jahat ganti bagus,Negatif,-1,Kompensasi,0
cewek gaji nekat ganti fase capek banget kerja gaji juta kerja,Positif,1,Kompensasi,0
paksa modern bebas undur tunggu anggap kerja tahan usaha wajib asih makan siang lembur minggu kasih kompensasi libur atur negeri manusiawi banding atur,Negatif,-1,Kompensasi,0
kantor bagus banget enak kompak jahat gaji seret karir kembang situ alas teman enak cari kayak,Negatif,-1,Kompensasi,0
kakak sender kerja banget gaji slip gaji potong jamsostek saldo kantor bilang arti bpjs gaji kakak sender sedih banget,Positif,1,Kompensasi,0
lingkung enak gaji sedih banget paksa gaji butuh,Negatif,-1,Kompensasi,0
gaji telat telat,Negatif,-1,Kompensasi,0
guru gaji administrasi murid nakal wali murid rekan guru jahat,Positif,1,Kompensasi,0
cewek gaji putus kerja libur gaji juta jujur badan toleransi,Positif,1,Kompensasi,0
alas kerja klasik lingkung jahat jahat gaji cari alas bohong jujur tahan gaji,Negatif,-1,Kompensasi,0
sayang kerja jahat sedih,Negatif,-1,Kompensasi,0
kerja gara-gara rekan kerja jahat susah ajak kerjasama tingkat hati banget hubung jujur alas pakai alas,Positif,1,Hubungan,3
gaji gara-gara susah cuti libur ganggu syarat gaji cuti ganggu,Negatif,-1,Kompensasi,0
wajar sedih alas utama lingkung kerja jahat atur istirahat makan menit langsung kerja salah mohon masuk,Negatif,-1,Kompensasi,0
kerja cari duit cari jenjang karir duit kayak sender alas kerja normal gaji pikir tenang,Negatif,-1,Kompensasi,0
tanda timbang kronis beranta lingkung rekan kerja jahat kembang usaha jalan,Negatif,-1,Aktualisasi,2
alas bikin gaji jahat kerja sesuai minat bahas versi hasil riset,Positif,1,Kompensasi,0
tuju habis lulus cari kerja gaji langsung minimal cari alam kerja kerja alas coba kerja betah,Negatif,-1,Kompensasi,0
kerja usaha atur suka suka manager atur karyawan karyawan izin sakit dokter gaji desember,Netral,0,Kompensasi,0
henti kerja komitmen dana cemas utama komitmen kerja alas fikir,Negatif,-1,Kompensasi,0
coba kerja alas pulang gaji tuntut rendah kayak,Negatif,-1,Kompensasi,0
pilih tahan kerja capek muak stres beban kerja gaji timbang semangat peluk,Negatif,-1,Kepuasan Kerja,1
orang gaji rendah orang teruk gaji gaji,Negatif,-1,Kompensasi,0
orang terima tawar kerja rana tawar bagus orang rana manusia bagus jahat jahat gaji,Netral,0,Kompensasi,0
ramai gaji harga jahat beban kerja repek kebaji abai,Negatif,-1,Kompensasi,0
ganti beda kerja situ kerja kerja upah lembur gaji bpjs parkir bayar jarak tempuh ijin tunjang cair,Netral,0,Kompensasi,0
alas terang alternatif lingkung jahat cari lingkung kerja dukung kembang tumbuh kembang profesional,Positif,1,Aktualisasi,2
capek kerja alas jahat cari muka domba sadar kerja kayak,Negatif,-1,Kepuasan Kerja,1
mending mental aman cadang kerja cari gaji mental jiwa raga tekan,Negatif,-1,Kompensasi,0
april kemarin kerja alas sepeda keliling indonesia timur barusan banget telpon kepala toko gaji masuk pesan selesai jalan kerja,Netral,0,Kompensasi,0
alas rencana kerja kerja gaji rencana cari minimal kerja suka,Negatif,-1,Kompensasi,0
kerja rumah admin data dada gaji suruh lantai angkat jemur jaga bayi utama bilang mental lemah,Negatif,-1,Kompensasi,0
rekan kerja kerja surabaya tawar kerja alas keluarga,Negatif,-1,Hubungan,3
ramai gaji harga kawan kerja jahat susah situ repek kebaji kerja abai jaga anak jaga sehat,Negatif,-1,Kompensasi,0
gedik gedik buka staff bayar alas bayar gaji kerja minggu bayar staff suara hantar surat saman bodoh,Netral,0,Kompensasi,0
orang kantor niat kerja masuk alas sakit mending imbas kasihan sakit kena potong sakit kadang rekan jabat kayak sampah bawa virus banget,Negatif,-1,Aktualisasi,2
alas biar kerja kondisi kantor bikin jahat manusia ubah lingkung dukung kriminal timbang lihat jahat,Positif,1,Hubungan,3
bilang alas kuliah alas kuliah kerja kerja gila kerja rodi kerja istirahat mending kerja duduk komputer,Negatif,-1,Kompensasi,0
maaf bingung alas gaji kerja sesuai bingung pikir alas saran alas,Positif,1,Kompensasi,0
alas kerja jahat milik jaga profesionalisme positif bicara kembang ajar cari tantang,Netral,0,Aktualisasi,2
malas gila kerja gila alas pakai stres kerja,Negatif,-1,Kepuasan Kerja,1
terima kerja langsung suruh banget tunggu proses banget allah nama kerja alas pindah gaji habis catat nomor,Positif,1,Kompensasi,0
tabiat usaha kali alas kerja bagus gaji omong jelek jelek usaha,Negatif,-1,Kompensasi,0
alas kerja masuk akal jaman,Negatif,-1,Kompensasi,0
alas gaji mantap kerja fleksibel inti uang mantap,Positif,1,Kompensasi,0
kerja kerja alas kuliah,Netral,0,Kompensasi,0
alas rekan kerja rekan kerja bocor alias suka,Negatif,-1,Hubungan,3
kerja lingkung jahat entar alas gara-gara karyawan lebar,Negatif,-1,Kompensasi,0
jahat banget teman gaji alas penuh fakta lapang kerja maksimal pulang gila gaji minim sulit,Netral,0,Kompensasi,0
tolong resmi bank swasta lolos gaji moga putus karir riba,Netral,0,Kompensasi,0
pindah kantor kali kerja alas kawan kantor jahat terima pindah kantor kali mesti kaca jahat,Negatif,-1,Kompensasi,0
gaji banget biar jomplang rasai gaji kabur,Positif,1,Kompensasi,0
kerja alas terima kantor kantor telat bayar gaji kantor ganti sulit kasih alas situ kembang,Positif,1,Kompensasi,0
cewek lingkung kerja jahat kaya manusia kayak gaji salah bahasa binatang pusing cewek aduh putus,Negatif,-1,Kompensasi,0
tetiba alas mesti jaga cucu anak terima kerja banget hitung gaji suami bilang gaji penuh bersih untung suami hilang,Netral,0,Kompensasi,0
banget coba kenal alam kerja alas terima kerja cerita alam capai kerja alas kerja,Positif,1,Kompensasi,0
alas kerja jahat uang lembur kena potong tanggal merah kena potong kerja,Negatif,-1,Kompensasi,0
niat ijin gaji alas capek kasih fasilitas kamar bobo kerja alas asli ipar nafkah masak alas,Positif,1,Kompensasi,0
alas tindak laku cari alam cari peluang sesuai tuju karir ahli kembang,Netral,0,Aktualisasi,2
cari ganti kaya usaha cari orang gaji kerja kadang uang makan tunjang gaji,Netral,0,Kompensasi,0
alas kerja usaha bilang usaha bohong usaha gaji alam,Negatif,-1,Kompensasi,0
kerja undang jujur kerja tolong kasih referensi alas pindah kerja over,Netral,0,Kompensasi,0
cewek gaji gaji gaji tara anak langsung,Positif,1,Kompensasi,0
cewek gaji alas gaji butuh apresiasi tugas undang seleksi kerja kerja,Negatif,-1,Kompensasi,0
putus lingkung kerja nyaman jenjang karir gaji jenuh banget kayak karyawan nyokap tuju takut,Positif,1,Kompensasi,0
habis kontrak gaji mudah percaya gaji bentuk tulis kontrak ikat,Positif,1,Kompensasi,0
kembang modal kota ambil alas visa kerja negara,Negatif,-1,Aktualisasi,2
arti tahan lingkung kerja jahat faktor gaji tekan keluarga kerja janji,Negatif,-1,Kompensasi,0
konten kreator guru alas lingkung kerja jahat nyata lingkung jahat akibat ulah,Negatif,-1,Kompensasi,0
pandemik bayar gaji selesa kerja relaks fikir kerja henti kerja henti kerja pandemik benda henti kerja,Negatif,-1,Kompensasi,0
gaji cepat,Netral,0,Kompensasi,0
pilih salah harga level tutup bawa gerbong rombong manjur pakai,Negatif,-1,Kompensasi,0
pindah kerja jamin aman terima sesuai kerja lolos alam tinggal nyaman usaha enak,Netral,0,Kompensasi,0
lompat kerja mesti benda bagus sesuai gaji baca,Netral,0,Kompensasi,0
pindah kerja kerja arti enak pikir ayam sayur sesuai koridor kantor kerja pindah,Netral,0,Kompensasi,0
kerja enak ajar tumbuh serve kerja pulang gaji pikir robot,Netral,0,Kompensasi,0
ubah mentalitas malu telat kerja wajib acara kantor urus pribadi debat manusia salah,Negatif,-1,Kompensasi,0
bangun pagi semangat pergi kerja tepu kerja rutin gain mati situ gaji timpal,Netral,0,Kompensasi,0
standar pindah gaji pindah gaji pintar,Negatif,-1,Kompensasi,0
tukar perkara sedia gaji rendah pasal jawat kembang resume sedia tukar,Netral,0,Kompensasi,0
kerja efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas kerja,Positif,1,Kompensasi,0
kembang karir hasil sesuai harap pindah faktur utama tahan pindah perut hati otak,Positif,1,Aktualisasi,2
kerja efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas kerja,Positif,1,Kompensasi,0
kerja negatif marah malas pergi kerja kerja teruk kaki bawang kipas gaji kaki bawang ubah perangai orang kerja,Negatif,-1,Kompensasi,0
hubung kerja kerja artikel rencana asih lindung karyawan hubung kerja kerja komunikasi sehat mental,Positif,1,Kompensasi,0
alas urgen tawar jahat kerja orang loyal terima usaha kutu loncat,Negatif,-1,Kompensasi,0
kenal kerja start kondisi mental pengaruh fisik kena parah rawat inap operasi putus pindah kerja gaji alas pengin hidup mbak,Negatif,-1,Kompensasi,0
tukar perkara sedia gaji rendah pasal jawat kembang resume sedia tukar,Netral,0,Kompensasi,0
nyata posisi gambar kursi pengaruh banget kerja semenjak pindah meja kasur jatuh kayak leseh ganti kursi sakit pinggang,Negatif,-1,Hubungan,3
dosa banget tali silaturahmi teman jahat bawa pengaruh buruk putus kontak pindah kerja,Negatif,-1,Hubungan,3
tiada gaji urus beban kerja wang sehat rupa faktor henti,Negatif,-1,Kompensasi,0
stres kerja situ fikir duit kalis jahat stres baca seronok kerja,Negatif,-1,Kepuasan Kerja,1
